soundname,nsyll,npause,dur(s),phonationtime(s),speechrate(nsyll/dur),articulation_rate(nsyll/phonationtime),ASD(speakingtime/nsyll)
aka040post2019,1289,113,394.79,321.01,3.27,4.02,0.249
aka040pre2019,286,34,113.36,74.48,2.52,3.84,0.260
ako002post2017,1275,131,391.07,299.62,3.26,4.26,0.235
ako002pre2017,390,65,187.44,134.91,2.08,2.89,0.346
ami020post2018,1015,143,330.42,239.06,3.07,4.25,0.236
ami020pre2018,1497,0,321.97,321.97,4.65,4.65,0.215
cfi064post2019,1399,108,365.77,295.56,3.82,4.73,0.211
cfi064pre2019,691,45,195.90,167.34,3.53,4.13,0.242
eal074post2019,1215,103,351.71,280.99,3.45,4.32,0.231
eal074pre2019,705,0,253.52,253.52,2.78,2.78,0.360
fsi039post2019,1642,136,448.34,354.27,3.66,4.63,0.216
fsi039pre2019,283,49,154.10,86.67,1.84,3.27,0.306
hmi056post2019,691,120,314.72,216.43,2.20,3.19,0.313
hmi056pre2019,440,89,224.60,131.66,1.96,3.34,0.299
iba024post2018,1054,113,312.75,245.00,3.37,4.30,0.232
iba024pre2018,349,82,189.97,97.77,1.84,3.57,0.280
jej060post2019,876,10,316.56,312.64,2.77,2.80,0.357
jej060pre2019,592,0,201.00,201.00,2.95,2.95,0.340
kfo063post2019,1318,119,371.86,297.98,3.54,4.42,0.226
kfo063pre2019,600,0,157.88,157.88,3.80,3.80,0.263
kgr027post2018,989,139,359.77,250.10,2.75,3.95,0.253
kgr027pre2018,105,16,46.24,24.66,2.27,4.26,0.235
kho061post2019,1158,0,404.19,404.19,2.86,2.86,0.349
kho061pre2019,500,60,184.54,138.16,2.71,3.62,0.276
kpr053post2019,833,77,279.43,209.78,2.98,3.97,0.252
kpr053pre2019,551,0,206.75,206.75,2.67,2.67,0.375
lbl015post2018,1137,1,407.27,406.92,2.79,2.79,0.358
lbl015pre2018,367,85,202.25,106.26,1.81,3.45,0.290
lbr008post2017,1164,172,391.71,286.62,2.97,4.06,0.246
lbr008pre2017,565,52,201.50,150.41,2.80,3.76,0.266
lfi007post2017,1632,192,550.33,403.27,2.97,4.05,0.247
lfi007pre2017,346,58,161.88,109.85,2.14,3.15,0.317
lwe041post2019,685,121,332.79,236.27,2.06,2.90,0.345
lwe041pre2019,88,24,71.12,53.29,1.24,1.65,0.606
man009post2017,980,210,456.49,275.14,2.15,3.56,0.281
man009pre2017,465,68,195.81,114.12,2.37,4.07,0.245
man076post2019,1021,58,280.86,244.82,3.64,4.17,0.240
man076pre2019,609,0,211.69,211.69,2.88,2.88,0.348
nie099post2017,174,45,111.84,78.99,1.56,2.20,0.454
nie099pre2017,365,73,193.08,89.58,1.89,4.07,0.245
nor100post2017,493,161,275.77,131.80,1.79,3.74,0.267
nor100pre2017,257,74,200.57,64.30,1.28,4.00,0.250
rle018post2018,475,65,195.05,147.59,2.44,3.22,0.311
rle018pre2018,610,128,308.84,192.44,1.98,3.17,0.315
rme104post2017,417,143,258.57,154.86,1.61,2.69,0.371
rme104pre2017,455,80,173.94,116.93,2.62,3.89,0.257
sde016post2018,934,0,233.09,233.09,4.01,4.01,0.250
sde016pre2018,662,0,155.82,155.82,4.25,4.25,0.235
ses012post2017,891,128,351.73,213.39,2.53,4.18,0.239
ses012pre2017,466,28,201.31,187.24,2.31,2.49,0.402
skr089post2019,749,75,234.17,184.90,3.20,4.05,0.247
skr089pre2018,1652,0,318.91,318.91,5.18,5.18,0.193
sma079post2019,868,43,227.68,208.19,3.81,4.17,0.240
sma079pre2019,696,20,182.92,169.92,3.81,4.10,0.244
tfe093post2018,912,36,259.21,238.41,3.52,3.83,0.261
tfe093pre2018,1058,0,228.76,228.76,4.62,4.62,0.216
tho047post2019,923,37,303.75,284.74,3.04,3.24,0.308
tho047pre2019,1121,0,346.39,346.39,3.24,3.24,0.309
wni098post2017,811,126,288.12,189.86,2.81,4.27,0.234
wni098pre2017,569,1,251.03,250.72,2.27,2.27,0.441
